Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views	To keep	Deprecated
Assembly	Genome assembly using PacBio data	https://training.galaxyproject.org//topics/assembly/tutorials/hifi-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	Sequence assembly validation, Visualisation, Cross-assembly, Genome assembly, Mapping assembly, De-novo assembly	2021-11-29	2025-06-04	2	True	False	False	True	flye, fasta-stats, gfa_to_fa, busco, hifiasm, quast	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.cz, UseGalaxy.no	0		2019	2425	5.8	0	True	False
Climate	Getting your hands-on earth data	https://training.galaxyproject.org//topics/climate/tutorials/earth_system/tutorial.html			2024-10-04	2025-05-10	2	True	False	False	False	obis_data, argo_getdata, c3s, spocc_occ	UseGalaxy.eu	UseGalaxy.be	0		214	258	12.016666666666667	0	True	False
Ecology	Life Traits Ecoregionalization workflow	https://training.galaxyproject.org//topics/ecology/tutorials/ecoregiolifetraits/tutorial.html			2025-06-02	2026-05-07	4	True	False	False	False	ecoregion_brt_analysis, column_remove_by_header, Filter1, ecoregion_eco_map, ecoregion_GeoNearestNeighbor, regexColumn1, WormsMeasurements, unzip, tp_cut_tool, ClaraGuess, ecoregion_taxa_seeker	UseGalaxy.eu		0		97	102	19.816666666666666	0	True	False
Ecology	Species distribution modeling	https://training.galaxyproject.org//topics/ecology/tutorials/species-distribution-modeling/tutorial.html			2019-07-04	2026-05-07	19	True	False	False	True	spocc_occ, Filter1, interactive_tool_wallace, tabular_to_csv, tp_cut_tool, tp_find_and_replace	UseGalaxy.eu, UseGalaxy.fr		0		3564	5278	3.95	0	True	False
Ecology	RAD-Seq de-novo data analysis	https://training.galaxyproject.org//topics/ecology/tutorials/de-novo-rad-seq/tutorial.html		Sequence composition calculation, Statistical calculation, Data handling, Sequencing quality control	2017-02-14	2026-05-07	15	True	False	False	True	stacks_procrad, stacks_populations, fastqc, stacks_denovomap	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.no	0		2856	4469	5.35	0	True	False
Ecology	Creating FAIR Quality assessment reports and draft of Data Papers from EML metadata with MetaShRIMPS	https://training.galaxyproject.org//topics/ecology/tutorials/Metashrimps_tutorial/tutorial.html			2024-01-22	2026-05-07	7	True	False	False	False	interactive_tool_metashrimps	UseGalaxy.eu		0		173	185	10.233333333333333	0	True	False
Ecology	Obis marine indicators	https://training.galaxyproject.org//topics/ecology/tutorials/obisindicators/tutorial.html	Biodiversity, Ecology, Data mining		2023-04-11	2026-05-19	10	True	False	False	True	obisindicators, tp_cut_tool, obis_data	UseGalaxy.eu	UseGalaxy.be	0		410	504	13.3	0	True	False
Ecology	Champs blocs indicators	https://training.galaxyproject.org//topics/ecology/tutorials/champs-blocs/tutorial.html			2023-01-04	2026-05-07	13	True	False	False	True	cb_qecb, cb_div, cb_ivr, cb_dissim, cb_eco			0		228	383	14.533333333333333	0	True	False
Ecology	Cleaning GBIF data for the use in Ecology	https://training.galaxyproject.org//topics/ecology/tutorials/gbif_cleaning/tutorial.html			2022-10-28	2025-06-03	6	True	False	False	True	spocc_occ, Count1, Filter1, gdal_ogr2ogr, Summary_Statistics1	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no		0		826	1005	6.1	0	True	False
Ecology	Marine Omics identifying biosynthetic gene clusters	https://training.galaxyproject.org//topics/ecology/tutorials/marine_omics_bgc/tutorial.html		Genome annotation, Sequence motif recognition, Protein feature detection	2024-08-19	2025-06-03	3	True	False	False	True	interproscan, prodigal, SanntiS_marine, sanntis_marine, regex1			0		336	376	12.2	0	True	False
Ecology	Preparing genomic data for phylogeny reconstruction	https://training.galaxyproject.org//topics/ecology/tutorials/phylogeny-data-prep/tutorial.html		Genetic variation analysis, Sequence analysis, Multiple sequence alignment, Genome annotation, Sequence trimming, Sequence assembly validation, Sequence clustering	2022-10-21	2025-06-03	5	True	False	False	True	glimmer_gbk_to_orf, phykit_alignment_based, repeatmasker_wrapper, Filter1, clustalw, tp_replace_in_line, proteinortho, proteinortho_grab_proteins, busco, funannotate_predict, regex1, clipkit, collapse_dataset	UseGalaxy.be		0		2545	3449	6.95	0	True	False
Ecology	RAD-Seq to construct genetic maps	https://training.galaxyproject.org//topics/ecology/tutorials/genetic-map-rad-seq/tutorial.html		Data handling	2017-02-14	2026-05-07	14	True	False	False	True	stacks_genotypes, stacks_denovomap	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no		0		992	1354	8.65	0	True	False
Ecology	Sentinel 2 biodiversity	https://training.galaxyproject.org//topics/ecology/tutorials/remote-sensing/tutorial.html			2023-04-13	2025-12-08	7	True	False	False	True	srs_global_indices, srs_pca, srs_process_data, srs_spectral_indices, srs_preprocess_s2, srs_diversity_maps	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr		0		725	910	7.05	0	True	False
Ecology	Taxonomic Analysis of eDNA	https://training.galaxyproject.org//topics/ecology/tutorials/eDNA-taxonomic-analysis/tutorial.html		Sequence contamination filtering, Sequencing quality control	2025-06-02	2026-05-07	3	True	False	False	True	cshl_fastq_to_fasta, Count1, fastp, ncbi_blastn_wrapper	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.no	0		828	1004	5.016666666666667	0	True	False
Ecology	Regional GAM	https://training.galaxyproject.org//topics/ecology/tutorials/regionalGAM/tutorial.html	Ecology	Visualisation	2019-07-04	2026-05-07	19	True	False	False	True	tp_awk_tool, Count1, regionalgam_plot_trend, regionalgam_ab_index, regionalgam_glmmpql, Filter1, ggplot2_point, regionalgam_flight_curve, Remove beginning1, regionalgam_gls, mergeCols1, regexColumn1, flight-curve, csv2tab_R, regionalgam_autocor_acf, tab2csv_R, Paste1			0		409	527	16.383333333333333	0	True	False
Ecology	Ecoregionalization workflow tutorial	https://training.galaxyproject.org//topics/ecology/tutorials/Ecoregionalization_tutorial/tutorial.html			2024-09-16	2026-05-22	8	True	False	False	True	ecoregion_brt_analysis, ecoregion_clara_cluster, filter_tabular, ecoregion_cluster_estimate, interactive_tool_jupyter_notebook, ecoregion_eco_map, ecoregion_GeoNearestNeighbor, regexColumn1, mergeCols1, unzip, tp_cut_tool, ecoregion_taxa_seeker	UseGalaxy.eu		0		481	597	8.083333333333334	0	True	False
Ecology	Creating metadata using Ecological Metadata Language (EML) standard with EML Assembly Line functionalities	https://training.galaxyproject.org//topics/ecology/tutorials/MetaShARK_tutorial/tutorial.html			2024-03-04	2026-05-07	9	True	False	False	False	interactive_tool_metashark	UseGalaxy.eu, UseGalaxy.fr		0		366	430	4.8	0	True	False
Ecology	Metabarcoding/eDNA through Obitools	https://training.galaxyproject.org//topics/ecology/tutorials/Obitools-metabarcoding/tutorial.html		Statistical calculation, Sequence composition calculation, Sequencing quality control	2022-02-28	2026-05-07	13	True	False	True	True	ncbi_blastn_wrapper, seq_filter_by_id, fastq_groomer, Cut1, obi_ngsfilter, Filter1, obi_uniq, fastqc, obi_clean, obi_grep, obi_illumina_pairend, unzip, wc_gnu, obi_stat, join1, obi_annotate, obi_tab	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.no	UseGalaxy.cz, UseGalaxy.fr	0		5145	7076	3.9	0	True	False
Ecology	Biodiversity data exploration	https://training.galaxyproject.org//topics/ecology/tutorials/biodiversity-data-exploration/tutorial.html			2022-03-01	2026-04-24	16	True	False	True	True	ecology_presence_abs_abund, ecology_homogeneity_normality, Remove beginning1, ecology_stat_presence_abs, regexColumn1, ecology_beta_diversity, ecology_link_between_var, tool_anonymization, tp_cut_tool	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.fr	0		1848	2547	10.983333333333333	0	True	False
Ecology	Data submission using ENA upload Tool	https://training.galaxyproject.org//topics/ecology/tutorials/ENA_Biodiv_submission/tutorial.html		Read pre-processing, Read mapping, Primer removal, Validation, Sequence trimming, Visualisation, Sequencing quality control	2024-12-13	2026-07-24	4	True	False	False	False	fastq_to_fasta_python, ncbi_blastn_wrapper, ab1_fastq_converter, fastq_groomer, Paste1, falco, collection_element_identifiers, multiqc, fastq_filter, cutadapt, regex1, __RELABEL_FROM_FILE__, bg_uniq, __FILTER_EMPTY_DATASETS__	UseGalaxy.eu	UseGalaxy.cz	0		436	459	5.516666666666667	0	True	False
Ecology	Compute and analyze biodiversity metrics with PAMPA toolsuite	https://training.galaxyproject.org//topics/ecology/tutorials/PAMPA-toolsuite-tutorial/tutorial.html			2020-11-19	2026-05-07	24	True	False	True	True	tp_easyjoin_tool, Count1, tp_cat, Filter1, tp_sort_header_tool, datamash_transpose, pampa_glmcomm, pampa_plotglm, mergeCols1, regexColumn1, pampa_presabs, pampa_communitymetrics, regex1, tp_cut_tool, pampa_glmsp	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.fr	0		1207	1584	11.166666666666666	0	True	False
Ecology	Phylodiversity analysis quick tutorial	https://training.galaxyproject.org//topics/ecology/tutorials/phylodiversity_workflow/tutorial.html			2025-06-06	2026-05-07	2	True	False	False	False	phylo_index, estimate_endem, crsconverter, phylogenetic_occupancy_matcher	UseGalaxy.eu		0		166	198	19.516666666666666	0	True	False
Ecology	RAD-Seq Reference-based data analysis	https://training.galaxyproject.org//topics/ecology/tutorials/ref-based-rad-seq/tutorial.html		Genome indexing, Sequence composition calculation, Validation, Statistical calculation, Data handling, Sequencing quality control, Read mapping, Generation, Sequence alignment	2017-02-14	2026-05-07	16	True	False	False	True	Count1, bwa, Cut1, cat1, Filter1, tp_replace_in_line, tp_sort_header_tool, fastqc, stacks_refmap, regex_replace, bwa_wrapper, multiqc, stacks_populations, addValue, stacks_procrad, Summary_Statistics1, Convert characters1, Grep1			0		3600	5446	4.833333333333333	0	True	False
Ecology	Cleaning GBIF data using OpenRefine	https://training.galaxyproject.org//topics/ecology/tutorials/openrefine_gbif/tutorial.html			2025-01-21	2026-05-07	7	True	False	False	False	interactive_tool_openrefine, regex1	UseGalaxy.eu, UseGalaxy.fr		0		292	347	7.45	0	True	False
Ecology	Audio data annotation with NEAL (Nature + Energy Audio labeler)	https://training.galaxyproject.org//topics/ecology/tutorials/NEAL_tutorial/tutorial.html			2025-10-14	2025-11-06	3	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		134	153	6.866666666666666	0	True	False
Ecology	QGIS Web Feature Services	https://training.galaxyproject.org//topics/ecology/tutorials/QGIS_Web_Feature_Services/tutorial.html			2023-10-11	2026-05-07	7	True	False	False	False	interactive_tool_qgis	UseGalaxy.eu, UseGalaxy.fr		0		398	448	9.583333333333334	0	True	False
Ecology	Object detection with YOLO	https://training.galaxyproject.org//topics/ecology/tutorials/yolo_predict_deepsea/tutorial.html			2026-05-06	2026-05-08	3	True	False	False	True	yolo_predict, yolo_training, unzip	UseGalaxy.eu		0		110	132	11.65	0	True	False
Genome Annotation	Comparison of two annotation tools - Helixer and Braker3	https://training.galaxyproject.org//topics/genome-annotation/tutorials/comparison-braker-helixer-annotation/tutorial.html	Sequence assembly, Genomics	Sequence annotation, Genome visualisation, Genome annotation, Gene prediction, Sequence alignment, Sequence assembly validation, Differential protein expression profiling	2025-06-20	2025-06-25	2	True	False	False	True	rna_star, gffread, busco, jbrowse, braker3, helixer, omark			0		908	1043	7.083333333333333	0	True	False
Genome Annotation	Masking repeats with RepeatMasker	https://training.galaxyproject.org//topics/genome-annotation/tutorials/repeatmasker/tutorial.html	Sequence composition, complexity and repeats, Genomics	Repeat sequence detection, RNA-Seq analysis, Genome annotation, Editing, Mapping	2021-11-29	2025-06-03	22	True	False	True	True	repeatmasker_wrapper, red, bedtools_maskfastabed, repeatmodeler	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		11374	14345	4.2	0	True	False
Genome Annotation	Refining Genome Annotations with Apollo (prokaryotes)	https://training.galaxyproject.org//topics/genome-annotation/tutorials/apollo/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Genome visualisation	2021-06-04	2025-05-15	22	True	True	True	True	list_organism, create_or_update, iframe, jbrowse, create_account		UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no	0		3783308	8607570	13.216666666666667	0	True	False
Genome Annotation	Genome annotation with Braker3	https://training.galaxyproject.org//topics/genome-annotation/tutorials/braker3/tutorial.html	Sequence assembly, Genomics, Biodiversity, Zoology, Plant biology	Sequence annotation, Genome visualisation, Genome annotation, Gene prediction, Sequence alignment, Sequence assembly validation, Differential protein expression profiling	2025-03-17	2026-07-30	5	True	False	False	True	fasta-stats, rna_star, gffread, busco, jbrowse, braker3, omark			0		2427	2918	4.85	0	True	False
Genome Annotation	Genome annotation with Helixer	https://training.galaxyproject.org//topics/genome-annotation/tutorials/helixer/tutorial.html	Biodiversity, Genomics, Zoology, Plant biology	Genome visualisation, Genome annotation, Gene prediction, Sequence annotation, Sequence assembly validation, Differential protein expression profiling	2024-08-21	2025-06-04	8	True	False	False	True	gffread, busco, jbrowse, helixer, jcvi_gff_stats, omark			0		1804	2124	6.7	0	True	False
Genome Annotation	Genome annotation with Funannotate	https://training.galaxyproject.org//topics/genome-annotation/tutorials/funannotate/tutorial.html	Gene and protein families	Information extraction, Homology-based gene prediction, Formatting, Genome annotation, Sequence annotation, Sequence motif recognition, Sequence assembly validation, Genome visualisation, Fold recognition, Query and retrieval, Sequence alignment, Protein feature detection	2021-11-29	2025-06-10	26	True	False	True	True	interproscan, funannotate_compare, aegean_parseval, rna_star, busco, picard_MergeSamFiles, jbrowse, eggnog_mapper, funannotate_predict, funannotate_annotate	UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz	0		12315	17100	5.55	0	True	False
Genome Annotation	Comparative gene analysis in unannotated genomes	https://training.galaxyproject.org//topics/genome-annotation/tutorials/gene-centric/tutorial.html	Genomics, Gene and protein families, Sequence analysis, Phylogeny, Comparative genomics	Multiple sequence alignment, Database search, Sequence alignment analysis, Coding region prediction, Phylogenetic tree generation, De-novo assembly, Transcriptome assembly	2022-09-08	2025-06-03	10	True	False	False	True	rbc_mafft, bg_diamond_makedb, cat1, Cut1, Filter1, collapse_dataset, regexColumn1, gops_intersect_1, Add_a_column1, orfipy, tp_split_on_column, tab2fasta, bg_diamond, join1, rapidnj, bg_diamond_view	UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.cz	0		2149	2932	9.883333333333333	0	True	False
Genome Annotation	Functional annotation of protein sequences	https://training.galaxyproject.org//topics/genome-annotation/tutorials/functional/tutorial.html	Function analysis, Protein sites, features and motifs	Homology-based gene prediction, Information extraction, Sequence motif recognition, Sequence alignment analysis, Genome annotation, Query and retrieval, Fold recognition, Protein feature detection	2022-07-20	2025-06-03	12	True	False	False	True	bg_diamond, eggnog_mapper, ncbi_blastp_wrapper, interproscan	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.no	0		5242	6855	6.183333333333334	0	True	False
Genome Annotation	Refining Genome Annotations with Apollo (eukaryotes)	https://training.galaxyproject.org//topics/genome-annotation/tutorials/apollo-euk/tutorial.html	Genomics	Genome visualisation	2022-08-22	2025-06-03	16	True	False	False	False	iframe, create_or_update, jbrowse	UseGalaxy.no	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu	0		1780	2578	9.783333333333333	0	True	False
Imaging	AI pipeline for annotating marine species (Project Moorev - Marine)	https://training.galaxyproject.org//topics/imaging/tutorials/Annotation_AI_Pipeline/tutorial.html			2026-07-24	2026-07-27	2	True	False	False	False	edit_coco_annotation, coco_annotation_visualizer, sam3_semantic_segmentation	UseGalaxy.eu		0		19	23	7.816666666666666	0	True	False
